job_id,skill_id
1,1
1,2
2,5
2,6
2,7
3,8
3,9
4,10
4,11
4,12
5,13
5,14
6,17
6,18
6,19
7,17
8,14
9,22
10,23
10,24
10,25
11,26
11,9
12,28
12,29
12,13
13,12
13,13
14,33
14,34
14,35
15,36
15,19
16,19
16,39
17,40
18,41
19,5
19,44
19,41
20,46
21,17
21,49
22,50
22,51
23,52
23,44
23,54
24,58
24,34
24,60
25,54
25,62
25,23
26,64
26,65
27,34
27,69
27,13
28,18
28,72
28,73
29,23
29,75
29,19
30,77
30,19
31,79
31,80
31,81
32,14
32,83
33,41
33,60
34,54
34,87
35,6
35,22
35,90
36,94
36,95
36,41
37,13
37,17
38,101
39,19
39,6
39,60
40,10
40,12
40,41
41,111
42,112
43,13
43,5
43,116
44,6
44,118
45,119
46,120
47,122
47,123
48,33
48,125
48,123
49,130
49,6
50,12
50,133
50,28
51,135
51,136
52,139
52,18
53,143
53,18
53,13
54,87
54,135
54,5
55,149
55,120
56,151
56,152
57,155
57,11
57,157
58,158
59,159
59,160
59,19
60,162
60,163
60,6
61,123
61,13
62,60
62,168
62,41
63,170
63,120
63,11
64,173
64,174
65,120
65,23
65,177
66,44
67,179
67,10
67,44
68,182
68,120
69,41
69,187
69,19
70,189
70,41
71,10
71,194
71,41
72,28
72,163
73,201
73,17
73,203
74,204
74,163
74,95
75,207
75,5
76,101
76,210
76,19
77,101
77,213
77,214
78,101
78,213
78,214
79,162
79,23
79,22
80,227
80,24
80,25
81,230
81,54
81,232
82,233
83,12
83,60
84,236
84,9
84,41
85,52
85,240
85,173
86,177
86,73
86,17
87,22
87,249
87,173
88,168
88,155
88,112
89,189
89,258
89,5
90,28
90,163
90,155
91,1
91,65
92,123
92,133
92,270
93,271
93,19
94,273
94,274
95,5
95,276
95,277
96,278
96,58
96,19
97,41
97,203
97,19
98,133
98,288
99,17
99,292
99,293
100,14
100,5
100,60
101,170
101,10
101,13
102,300
102,204
102,258
103,112
103,304
103,274
104,309
104,120
105,311
105,312
105,22
106,233
107,316
107,274
107,318
108,54
108,320
109,122
109,270
109,49
110,316
110,10
110,318
111,330
111,189
111,41
112,336
112,270
112,49
113,336
113,210
113,19
114,336
114,210
114,19
115,10
115,24
115,41
116,13
116,182
117,350
117,351
118,10
118,12
118,41
119,41
119,112
120,1
120,49
120,23
121,360
122,35
122,5
122,79
123,79
123,240
123,13
124,65
125,23
126,370
126,330
126,372
127,373
127,374
127,111
128,274
128,6
128,60
129,60
129,73
130,24
130,382
130,383
131,120
131,213
131,19
132,41
132,391
133,392
133,151
133,394
134,111
134,6
134,23
135,398
135,111
135,6
136,24
136,23
136,11
137,120
138,409
138,6
138,41
139,7
139,6
139,60
140,155
140,111
140,311
141,130
141,194
142,33
142,112
142,9
143,111
143,64
143,428
144,8
144,430
144,271
145,271
145,22
146,22
146,130
146,436
147,437
147,162
147,439
148,230
148,441
148,442
149,158
149,24
150,6
150,111
151,447
151,448
151,13
152,450
152,79
153,447
153,453
153,13
154,60
155,456
155,351
156,458
156,203
157,162
157,7
158,466
158,467
158,458
159,316
159,470
159,112
160,133
160,203
160,94
161,213
161,6
161,120
162,52
162,111
162,23
163,23
163,123
163,274
164,60
164,13
164,151
165,123
165,488
166,120
166,13
166,112
167,24
168,22
168,112
169,373
169,498
170,135
170,60
170,6
171,505
171,163
171,133
172,13
172,26
172,73
173,514
173,448
173,19
174,41
174,19
174,519
175,10
175,44
176,41
176,69
176,526
177,33
177,528
177,8
178,52
178,531
179,207
179,182
180,203
180,72
180,12
181,162
181,6
181,173
182,41
182,23
183,60
183,13
183,278
184,351
184,120
184,13
185,13
186,274
186,60
186,24
187,182
187,41
188,41
188,130
189,19
189,560
189,23
190,19
190,566
190,1
191,5
192,163
192,60
192,13
193,575
194,575
195,575
195,73
196,23
196,498
196,120
197,311
197,73
197,177
198,120
198,130
198,12
199,436
199,65
199,318
200,54
200,13
201,19
201,597
201,249
202,73
202,41
202,187
203,189
203,430
204,604
204,1
205,119
205,274
205,123
206,609
206,227
207,28
207,17
207,13
208,29
208,5
208,233
209,65
209,5
210,19
210,60
211,65
212,60
212,203
212,19
213,112
214,274
215,173
215,162
216,22
216,24
217,194
217,5
218,2
218,1
219,5
219,135
219,87
220,11
220,10
220,13
221,29
221,316
221,119
222,120
222,249
222,652
223,162
223,54
223,19
224,41
225,519
226,112
226,77
227,458
227,203
227,24
228,163
228,60
228,24
229,58
230,72
230,24
231,49
231,101
231,23
232,60
232,90
232,19
233,682
234,41
234,1
235,685
235,173
236,130
236,688
236,213
237,609
237,152
238,7
238,163
238,73
239,316
239,505
240,505
240,203
240,699
241,700
241,312
242,311
242,135
243,213
243,41
244,41
244,65
244,26
245,41
245,351
246,311
247,90
247,19
247,41
248,123
248,120
248,23
249,441
249,118
250,54
251,101
251,122
251,210
252,41
252,725
253,44
253,13
253,728
254,112
254,18
254,41
255,60
255,101
255,213
256,33
256,13
256,19
257,13
257,23
257,318
258,23
258,170
258,746
259,60
259,13
259,41
260,682
260,10
261,233
261,189
262,65
262,5
263,187
263,112
263,24
264,7
264,271
265,316
265,60
265,163
266,118
267,769
267,163
267,41
268,24
268,316
268,155
269,370
269,54
269,5
270,120
270,19
270,498
271,6
271,11
271,170
272,351
272,5
273,120
273,203
273,158
274,797
274,41
275,7
275,120
275,41
276,152
276,803
277,24
277,187
277,292
278,18
278,13
278,112
279,187
279,1
280,448
280,336
280,213
281,54
281,29
282,19
282,23
282,824
283,29
283,24
284,233
284,830
284,152
285,182
285,836
286,837
286,13
286,213
287,2
287,841
287,19
288,271
288,351
288,430
289,846
289,213
289,19
290,54
290,162
290,19
291,162
291,856
292,274
292,29
292,54
293,1
294,728
294,29
294,865
295,830
295,867
295,14
296,69
296,34
296,13
297,498
298,41
299,203
299,112
300,162
300,123
300,120
301,274
301,72
301,17
302,135
302,87
303,9
303,430
303,41
304,277
304,60
305,60
305,41
306,204
306,10
306,13
307,120
307,22
307,13
308,62
308,22
308,6
309,95
309,905
309,867
310,488
310,908
310,19
311,182
311,13
312,24
312,95
312,41
313,162
313,19
313,1
314,918
314,49
315,158
316,120
316,22
317,41
318,87
319,29
319,19
320,46
320,26
321,41
322,143
322,162
322,101
323,26
323,41
324,937
324,54
324,939
325,213
325,336
325,120
326,58
326,173
327,203
327,292
327,24
328,26
328,312
328,60
329,77
330,29
330,18
330,177
331,123
331,270
331,133
332,964
332,867
333,13
333,292
333,2
334,162
334,135
334,174
335,41
335,18
335,26
336,391
336,49
337,9
338,982
338,41
339,984
340,986
340,274
340,318
341,240
341,360
342,135
342,13
343,60
344,994
344,17
345,79
346,94
346,25
346,24
347,2
348,112
349,575
350,372
350,1008
350,189
351,258
351,867
351,1012
352,26
352,29
352,135
353,360
353,1017
353,441
354,194
354,65
355,52
355,9
356,1025
356,194
356,5
357,351
357,73
357,1030
358,1031
359,163
359,155
360,604
360,120
361,187
361,2
362,130
363,1039
363,111
363,173
364,182
365,23
366,1045
366,24
366,13
367,139
367,77
367,1050
368,54
368,1
369,135
369,123
369,23
370,1056
370,62
370,119
371,52
371,232
372,351
372,1
372,41
373,174
373,1068
373,1069
374,95
374,163
374,177
375,158
375,87
376,13
376,19
376,213
377,17
377,288
377,41
378,274
378,60
378,41
379,311
380,1085
380,155
380,937
382,213
382,79
382,5
383,351
384,725
384,9
384,430
385,311
385,274
385,120
386,227
386,316
387,18
387,204
387,10
388,273
388,60
388,41
389,204
389,170
389,1118
390,273
390,7
390,41
391,1122
391,7
391,41
392,36
392,60
393,312
396,1133
396,1025
397,1025
397,17
397,158
398,5
398,77
399,1142
399,5
400,351
400,24
400,2
401,13
401,22
401,939
402,25
402,24
402,466
403,1030
403,41
403,194
404,1161
404,194
405,1163
405,173
406,1025
406,273
406,177
407,1163
407,1169
407,249
408,498
408,123
408,120
409,60
409,24
409,1
410,725
410,1184
411,58
411,49
412,271
413,213
413,5
413,39
414,163
414,274
414,203
415,1
415,41
415,9
418,19
418,11
418,688
419,1205
419,1206
419,19
420,1208
420,210
420,213
421,797
422,688
422,271
422,60
423,488
423,90
423,1217
424,278
424,447
425,26
425,867
425,182
426,728
426,120
426,60
427,604
427,101
428,52
428,453
429,450
429,52
430,13
430,54
430,73
431,23
432,28
432,24
433,1244
433,11
433,123
434,17
434,24
434,95
435,274
436,33
436,1252
436,19
437,797
437,351
438,135
438,19
438,213
439,1012
439,60
439,700
440,162
440,1263
440,25
441,28
442,162
442,22
442,13
443,1269
443,311
443,436
444,488
444,13
444,162
445,278
445,488
445,13
446,1025
446,2
447,514
447,278
447,19
448,939
448,170
448,41
449,194
449,112
449,158
450,75
450,123
450,6
451,13
452,13
453,112
453,232
453,177
454,1299
454,258
455,9
455,204
455,133
456,351
456,41
457,18
457,44
457,7
458,65
458,351
459,24
459,1312
460,1313
460,65
461,14
461,964
461,867
462,152
462,87
463,1142
463,597
464,17
464,41
465,33
465,34
465,170
466,130
466,162
466,112
467,65
468,41
468,158
469,120
469,162
469,7
470,58
471,157
471,336
471,1346
472,26
472,73
473,79
474,746
474,143
475,1269
476,1
476,13
476,2
477,8
477,26
478,1359
478,77
479,13
479,41
479,26
480,41
480,101
481,77
481,49
482,271
483,5
483,318
483,13
484,270
484,13
484,23
485,41
485,204
485,203
486,130
486,36
487,101
487,1381
487,44
488,135
488,6
489,87
490,49
491,194
491,318
491,13
492,204
492,62
492,54
493,72
493,29
493,12
494,174
494,7
494,383
495,60
495,189
495,101
496,383
496,311
496,23
497,149
497,120
497,19
498,174
498,6
499,1244
499,162
499,130
500,41
500,54
501,1163
501,23
501,173
502,1427
503,158
503,383
503,1430
504,1427
505,1427
505,531
506,982
506,240
506,450
507,249
508,13
508,441
508,230
509,1050
510,79
510,41
511,41
511,498
511,6
512,162
512,439
512,24
513,162
513,7
513,5
514,204
514,133
514,13
515,316
515,133
515,13
516,14
517,1122
518,240
518,79
519,52
519,230
520,119
520,1473
520,1474
521,162
521,12
521,10
522,54
522,41
522,22
523,162
523,119
523,41
524,120
524,11
524,162
525,41
526,1488
526,233
527,18
528,13
528,182
528,5
529,6
529,162
529,19
530,174
530,274
530,163
531,41
531,60
532,143
532,130
532,87
533,54
533,158
534,10
534,26
534,13
535,162
535,1522
535,1523
536,41
536,498
536,11
537,119
537,163
538,60
538,1085
538,163
539,11
539,44
539,13
540,60
540,1381
541,278
541,526
541,318
542,278
542,318
542,60
543,60
543,273
544,856
544,151
544,41
545,450
546,2
546,87
547,2
547,1
547,19
548,41
548,13
548,26
549,157
549,19
549,213
550,1118
550,54
550,26
551,5
551,54
551,65
552,111
552,1050
553,41
553,304
553,23
554,54
554,274
554,18
555,162
555,233
555,1589
556,24
556,41
557,54
557,44
557,10
558,189
558,1596
558,1142
559,351
559,7
559,276
560,170
560,7
560,318
561,26
562,112
562,18
562,73
563,213
563,203
563,73
564,1244
564,23
564,22
565,1620
565,273
565,258
566,112
566,6
566,13
567,1208
567,13
567,26
568,856
568,40
568,41
569,311
569,135
572,19
572,22
572,1645
573,60
573,22
573,453
574,5
574,25
574,24
575,22
575,19
575,120
578,450
579,41
579,170
579,162
580,162
580,1666
581,1667
581,6
581,41
582,162
582,10
582,44
583,201
583,40
584,19
584,213
584,173
585,1678
585,65
585,26
586,9
586,278
586,1008
587,54
587,101
587,453
588,5
588,351
588,189
589,54
589,274
589,13
590,29
590,274
591,867
591,1696
591,26
592,41
592,316
592,1700
593,9
593,33
593,101
594,177
594,24
594,41
595,488
595,44
595,19
596,149
596,120
596,19
597,170
597,203
599,1721
599,1
600,41
600,436
601,292
601,1
602,155
602,318
603,120
603,23
603,112
604,162
604,498
604,6
605,213
605,157
606,72
606,112
606,24
607,203
607,112
608,1746
608,182
608,41
609,194
610,273
610,112
611,41
611,1753
612,1754
612,24
613,1756
613,1056
613,398
614,41
614,2
615,312
615,233
616,162
616,10
616,44
617,54
617,120
617,9
618,41
618,112
618,19
619,29
619,1696
619,1780
620,6
620,155
620,73
621,24
622,28
622,312
622,700
623,54
623,194
623,351
624,391
624,1050
625,151
626,119
627,19
627,213
628,25
629,22
629,439
629,24
630,112
630,177
631,351
631,430
631,5
632,133
632,1818
632,41
633,163
633,133
634,505
634,203
634,155
635,6
635,249
635,173
636,29
636,119
637,72
637,1523
637,13
638,157
638,1839
639,41
639,79
639,5
640,204
640,1844
640,867
641,162
641,130
641,318
642,383
642,685
642,120
643,101
643,837
643,60
644,456
644,13
644,189
645,77
646,111
646,23
647,1056
647,23
647,22
648,9
648,293
648,227
649,311
649,288
649,318
650,1030
650,1161
650,65
651,157
651,158
651,688
652,1269
652,240
653,54
653,24
653,1883
654,430
654,41
655,836
655,5
656,177
656,112
656,170
657,351
657,189
658,11
658,120
658,130
659,1901
659,274
659,19
660,162
660,130
660,19
661,41
661,111
662,11
662,271
662,41
663,162
663,135
663,101
664,101
664,90
664,60
665,311
665,41
666,135
667,158
667,22
667,13
668,19
668,1
669,13
669,72
669,163
670,23
670,173
671,51
671,830
671,28
672,162
672,123
672,13
